Search keyword
All time
Account name,Customer ID,Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Month,Clicks,Impr.,CTR,Avg. CPC,Avg. CPC (Converted currency),Cost,Cost (Converted currency),Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Cost / conv. (Converted currency),Conv. rate,Avg. CPM (Converted currency),Revenue,Converted currency code
Risk Top Tactical,716-310-8729,tiendas tacticas,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,October 2022,451,"3,597",12.54%,2.13, --,960.66, --,48.61%,70.75%,10.00,0,96.07, --,2.22%, --,0.00,MXN
Risk Top Tactical,716-310-8729,risk tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,October 2024,449,620,72.42%,2.88, --,1293.87, --,95.56%,97.44%,7.38,0,175.29, --,1.64%, --,13567.59,MXN
Risk Top Tactical,716-310-8729,accesorios tacticos militares,Removed,removed,Broad match,Search,5.11,MXN,0,June 2023,448,"7,520",5.96%,1.10, --,493.86, --,9.41%,21.84%,20.00,0,24.69, --,4.46%, --,0.00,MXN
Risk Top Tactical,716-310-8729,511 tactical,Eligible,,Broad match,Search,5.11,MXN,40.00,October 2024,446,"1,015",43.94%,3.17, --,1415.88, --,76.71%,94.59%,1.00,0,1415.88, --,0.22%, --,2200.00,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,May 2025,441,"1,707",25.83%,2.50, --,1101.35, --,68.68%,94.48%,3.00,0,367.12, --,0.68%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11,Eligible,,Broad match,Search,5.11,MXN,40.00,December 2025,438,"2,445",17.91%,4.34, --,1899.73, --,59.61%,90.43%,68.70,0,27.65, --,15.68%, --,4019.94,MXN
Risk Top Tactical,716-310-8729,risk tactical,Eligible,,Broad match,Search,Risk,MXN,15.00,December 2024,438,762,57.48%,2.82, --,1237.24, --,84.40%,88.78%,24.80,0,49.88, --,5.66%, --,18487.73,MXN
Risk Top Tactical,716-310-8729,511 tactical,Eligible,,Broad match,Search,5.11,MXN,40.00,December 2024,437,"1,172",37.29%,3.29, --,1439.10, --,61.38%,84.92%,4.00,0,359.78, --,0.92%, --,3411.61,MXN
Risk Top Tactical,716-310-8729,tienda 5.11,Not eligible,ad group removed,Broad match,Ubicaciones,5.11,MXN,15.00,February 2022,433,"1,985",21.81%,1.89, --,818.13, --,46.87%,90.80%,4.00,0,204.53, --,0.92%, --,0.00,MXN
Risk Top Tactical,716-310-8729,5.11 mexico,Eligible,,Broad match,Search,5.11,MXN,40.00,April 2023,430,800,53.75%,3.14, --,1349.11, --,82.93%,98.61%,7.00,0,192.73, --,1.63%, --,9849.00,MXN
