Item ID,Title,Clicks,Orders,Revenue,Cost,ROAS,Recommended_Bucket,Reason
shopify_mx_4169395109940_43250760122592,CHAMARRA TACTICA 5.11 - VALIANT DUTY Sheriff Green / X-Large,147,0,337.73,306.9,1.1,Zombies,ROAS<2
shopify_mx_8050611192032_47181666844896,CAMISA TACTICA 5.11 - WYATT MANGA CORTA Kangaroo / Large,138,2,3235.0,305.43,10.59,Champions,ROAS>=8_clicks>=100
shopify_mx_8951267983584_47635975307488,MOCHILA TACTICA 5.11 - LVC12 Black,98,0,1181.64,304.35,3.88,Improvers,ROAS_2_to_4
shopify_mx_8050610667744_44027697627360,CINTURON TACTICO 5.11 - MAVERICK BATTLE BLT DRING Ranger Green / Large,61,0,1629.3,298.87,5.45,Winners,ROAS>=4
shopify_mx_8691573293280_46315323490528,JEAN 5.11 - DEFENDER-FLEX JEAN CORTE REGULAR Dark Wash Indigo / 28 / 30,69,0,0.0,298.64,0.0,Zombies,ROAS<2
shopify_mx_6148260167855_37822551851183,PANTALON TACTICO 5.11 - ABR PRO PANT Dark Navy / 36 / 32,93,0,1917.12,293.73,6.53,Winners,ROAS>=4
shopify_mx_8928382976224_47551214846176,"Botas tácticas 5.11 Speed 4.0 8"" 8 MX",240,0,0.0,292.79,0.0,Zombies,ROAS<2
shopify_mx_7928833409248_44638042259680,CAMISA TACTICA 5.11 - GUNNER SOLID MANGA LARGA Granade / Medium,81,1,6177.44,288.32,21.43,Winners,ROAS>=4
shopify_mx_8895157600480_47437303644384,Botas tácticas 5.11 A/T 6 6MX,278,0,336.97,283.3,1.19,Zombies,ROAS<2
shopify_mx_7928861163744_43654619857120,CHALECO TACTICO 5.11 - PORTA PLACAS CONVERTIBLE ABR,122,0,0.0,283.28,0.0,Zombies,ROAS<2
shopify_mx_8856317591776_47174198198496,Botas Tácticas 5.11 A/T Elite GORE-TEX Mid - Comodidad y Durabilidad Black / 7 MX,93,0,0.0,273.68,0.0,Zombies,ROAS<2
shopify_mx_8857622872288_47546054181088,Tenis 5.11 PT-R Inure Runner | Alto Rendimiento para Cardio Kangaroo / 6 MX,101,0,0.0,272.05,0.0,Zombies,ROAS<2
shopify_mx_7097054471_28649313402932,CAMISA TACTICA 5.11 - TACLITE PRO MANGA LARGA TDU Green / Medium,73,0,0.0,271.53,0.0,Zombies,ROAS<2
shopify_mx_8906743087328_47487348572384,Gorra 5.11 Caliber Reticle Storm / L/XL,84,1,4249.36,270.65,15.7,Winners,ROAS>=4
shopify_mx_6148260167855_37822550507695,PANTALON TACTICO 5.11 - ABR PRO PANT Ranger Green / 32 / 32,114,0,0.0,269.98,0.0,Zombies,ROAS<2
shopify_mx_6976337223_46917748999,MOCHILA TACTICA 5.11 - RUSH MOAB 10 Black,92,1,2600.0,268.52,9.68,Winners,ROAS>=4
shopify_mx_8857704759520_47181925056736,Mochila SIG SAUER x 5.11 19L,46,0,700.0,265.98,2.63,Improvers,ROAS_2_to_4
shopify_mx_10664622727_45926285319,PANTALON TACTICO 5.11 - FAST-TAC CARGO PANTS Dark Navy / 34 / 30,73,0,3679.36,265.07,13.88,Winners,ROAS>=4
shopify_mx_8840908439776_47785543303392,Mochila 5.11 LVC8 Sling 8L Black,70,0,1.5,264.01,0.01,Zombies,ROAS<2
shopify_mx_8823476125920_46989453459680,Chaleco 5.11 Adventure Primaloft Black / L,99,0,1974.93,262.97,7.51,Winners,ROAS>=4
shopify_mx_6956242174127_43215814328544,PANTALON TACTICO 5.11 - RIDGE PANT Ranger Green / 32 / 30,74,0,0.0,259.33,0.0,Zombies,ROAS<2
shopify_mx_8691637453024_47792185606368,GORRA TACTICA 5.11 - UNIFORM HAT Black,124,0,0.0,258.59,0.0,Zombies,ROAS<2
shopify_mx_9042319474912_48042136109280,MOCHILA TACTICA 5.11 - UCR BACKPACK,88,0,0.0,258.56,0.0,Zombies,ROAS<2
shopify_mx_6148260167855_37822551589039,PANTALON TACTICO 5.11 - ABR PRO PANT Dark Navy / 28 / 32,54,0,1927.23,257.89,7.47,Winners,ROAS>=4
shopify_mx_8050611028192_45688847663328,PANTALON TACTICO 5.11 - SPIRE PARA MUJER Ranger Green / 8,61,0,650.0,255.89,2.54,Improvers,ROAS_2_to_4
shopify_mx_7819834523872_44075275223264,GORRA 5.11 - FLAG BEARER CAP Kangaroo,67,1,4271.6,254.87,16.76,Winners,ROAS>=4
shopify_mx_7883739365600_43497451651296,ACCESORIOS TACTICOS 5.11 - SISTEMA DE HIDRATACION WTS 3L,130,0,420.71,254.08,1.66,Zombies,ROAS<2
shopify_mx_6956242174127_43215803711712,PANTALON TACTICO 5.11 - RIDGE PANT Khaki / 30 / 30,34,0,96.33,252.7,0.38,Zombies,ROAS<2
shopify_mx_7092386247_7192695603252,ACCESORIO TACTICO 5.11 - RIGID CUFF Black / One Size,65,0,0.0,247.44,0.0,Zombies,ROAS<2
shopify_mx_8272349692128_44876389056736,CHAMARRA TACTICA 5.11 - CRYSTAL HYBRID CON CIERRE PARA MUJER Black / M,66,1,2877.58,244.81,11.75,Winners,ROAS>=4
shopify_mx_8017990189280_43934456873184,"BOTAS TACTICAS 5.11 - EVO 2.0 8"" SIDE-ZIP BOOT PARA MUJER Black / 8 MX",85,0,0.0,243.86,0.0,Zombies,ROAS<2
shopify_mx_9467052039_36658153259168,PANTALON TACTICO 5.11 - FAST-TAC URBAN PANTS Battle Brown / 38 / 30,54,0,113.06,236.55,0.48,Zombies,ROAS<2
shopify_mx_4428704120884_43331065446624,POUCH TACTICO 5.11 - FLEX MED PARA MEDICINA Dark Navy / One size,52,0,0.0,234.22,0.0,Zombies,ROAS<2
shopify_mx_7067379015_22410932423,CHALECO TACTICO 5.11 - PORTA PLACAS TACTEC Black / One Size,148,0,0.0,231.14,0.0,Zombies,ROAS<2
shopify_mx_8597404352736_45929920102624,BOTAS TACTICAS REEBOK WORK - RAPID RESPONSE RB 9 MX,93,0,0.0,230.46,0.0,Zombies,ROAS<2
shopify_mx_7819824627936_45702493339872,CHAMARRA TACTICA 5.11 - PRESTON JACKET Tank Green / Small,58,0,636.73,227.94,2.79,Improvers,ROAS_2_to_4
shopify_mx_7819839701216_43331343679712,BOTAS TACTICAS 5.11 - A/T 8 HD Black / 9 MX,98,0,1139.68,226.37,5.03,Winners,ROAS>=4
shopify_mx_8014193131744_43926439461088,BOLSA TACTICA 5.11 - LV6 2.0 WAIST PACK Tundra,159,0,0.0,225.69,0.0,Zombies,ROAS<2
shopify_mx_8947136463072_47618442264800,HARNESS 5.11 PARA PERRO - MISSIONREADY Fluorscn Org / M,65,0,5.27,225.46,0.02,Zombies,ROAS<2
shopify_mx_6148260167855_37822550605999,PANTALON TACTICO 5.11 - ABR PRO PANT Ranger Green / 36 / 30,63,0,875.0,222.97,3.92,Improvers,ROAS_2_to_4
shopify_mx_8050611454176_44027703853280,PLAYERA TACTICA 5.11 - HOODED L/S TEE Ranger Green / Large,48,1,2657.59,208.16,12.77,Winners,ROAS>=4
shopify_mx_8597404352736_45929920069856,BOTAS TACTICAS REEBOK WORK - RAPID RESPONSE RB 8 MX,62,0,3258.66,205.58,15.85,Winners,ROAS>=4
shopify_mx_8050609717472_44027692089568,"CINTURON TACTICO 5.11 - OPERATOR 1.75"" INCH BELT Black / Large",231,0,0.0,203.62,0.0,Zombies,ROAS<2
shopify_mx_6976337223_40432136290479,MOCHILA TACTICA 5.11 - RUSH MOAB 10 Double Tap,47,0,0.0,203.59,0.0,Zombies,ROAS<2
